#;title_es;title_en;description_es;description_en;text_es;text_en;type_es;type_en;repository_link;date
11;METODOS DE REGRESIÓN AEPS;AEPS REGRESSION METHODS;Metodos de análisis para datos multivariados en agricultura;Analysis methods for multivariate data in agriculture;;;Herramienta ;Tool;https://github.com/CIAT-DAPA/aeps_Regression-Methods-AEPS;oct 11 2018
12;TNC HONDURAS;TNC HONDURAS;This is a example of RASTER;This is a example of RASTER;;;Herramienta ;Tool;https://github.com/CIAT-DAPA/aeps_tnc_honduras;mar 16 2018
13;U SAID COFFEE;U SAID COFFEE;;;;;Herramienta ;Tool;https://github.com/CIAT-DAPA/usaid_coffee;sep 29 2017
14;AEPS PLATAFORMA API AUTH;AEPS API AUTH PLATFORM;;;;;Plataforma ;Platform;https://github.com/CIAT-DAPA/aeps_platform_api_auth;oct 13 2020
15;PLATAFORMA CROP SATELLITE BASED MONITORING;PLATFORM CROP SATELLITE BASED MONITORING;;;;;Plataforma ;Platform;https://github.com/CIAT-DAPA/aeps_platform_crop_satellite-based_monitoring;oct 13 2020
16;PLATAFORMA DOCKER;PLATFORM DOCKER;;;;;Plataforma ;Platform;https://github.com/CIAT-DAPA/aeps_platform_docker;jul 20 2020
17;PLATAFORMA DOCS;PLATFORM DOCS;;;;;Plataforma ;Platform;https://github.com/CIAT-DAPA/aeps_platform_docs;feb 3 2020
18;PLATAFORMA FORMS;PLATFORM FORMS;;;;;Plataforma ;Platform;https://github.com/CIAT-DAPA/aeps_platform_forms;jul 3 2020
19;PLATAFORMA VISUALIZATIONS;PLATFORM VISUALIZATIONS;;;;;Plataforma ;Platform;https://github.com/CIAT-DAPA/aeps_platform_visualizations;feb 5 2020
20;PROYECTO AEPS;PROJECT AEPS;;;;;Plataforma ;Platform;https://github.com/CIAT-DAPA/aeps_project-aeps;nov 8 2017
21;SIGATOKA;SIGATOKA;;;;;Herramienta ;Tool;https://github.com/CIAT-DAPA/aeps_Sigatoka;dec 11 2018
